Year,Location,Vehicle_Type,Count
2015,ARANETA AVE.,PUB,21.0
2015,EDSA (BUENDIA AVE),PUB,14384.0
2015,KATIPUNAN / C.P. GARCIA,PUB,692.0
2015,ROXAS BLVD.,PUB,276.0
2015,TAFT AVE.,PUB,2992.0
2015,SSH,PUB,778.0
2015,SHAW BLVD.,PUB,74.0
2015,ORTIGAS AVE.,PUB,914.0
2015,MAGSAYSAY BLVD.,PUB,729.0
2015,AURORA BLVD.,PUB,73.0
2015,QUEZON AVE.,PUB,1400.0
2015,COMMONWEALTH AVE.,PUB,5877.0
2015,A. BONIFACIO,PUB,1524.0
2015,RIZAL AVE.,PUB,298.0
2015,DEL PAN,PUB,
2015,MARCOS HWY.,PUB,95.0
2015,MCARTHUR HWY.,PUB,2617.0
2015,TOTAL,PUB,33724.0
2015,RECTO,Truck,789.0
2015,MENDOZA,Truck,4007.0
2015,PRES. QUIRINO,Truck,6421.0
2015,ARANETA AVE.,Truck,4393.0
2015,EDSA (BUENDIA AVE),Truck,5451.0
2015,KATIPUNAN / C.P. GARCIA,Truck,10458.0
2015,ROXAS BLVD.,Truck,831.0
2015,TAFT AVE.,Truck,650.0
2015,SSH,Truck,7184.0
2015,SHAW BLVD.,Truck,1603.0
2015,ORTIGAS AVE.,Truck,5039.0
2015,MAGSAYSAY BLVD.,Truck,2228.0
2015,AURORA BLVD.,Truck,2168.0
2015,QUEZON AVE.,Truck,4337.0
2015,COMMONWEALTH AVE.,Truck,6307.0
2015,A. BONIFACIO,Truck,8736.0
2015,RIZAL AVE.,Truck,1948.0
2015,DEL PAN,Truck,
2015,MARCOS HWY.,Truck,6394.0
2015,MCARTHUR HWY.,Truck,4031.0
2015,TOTAL,Truck,80955.0
2015,RECTO,Trailer,16.0
2015,MENDOZA,Trailer,506.0
2015,PRES. QUIRINO,Trailer,3070.0
2015,ARANETA AVE.,Trailer,528.0
2015,EDSA (BUENDIA AVE),Trailer,8.0
2015,KATIPUNAN / C.P. GARCIA,Trailer,922.0
2015,ROXAS BLVD.,Trailer,50.0
2015,TAFT AVE.,Trailer,15.0
2015,SSH,Trailer,3921.0
2015,SHAW BLVD.,Trailer,164.0
2015,ORTIGAS AVE.,Trailer,428.0
2015,MAGSAYSAY BLVD.,Trailer,429.0
2015,AURORA BLVD.,Trailer,30.0
2015,QUEZON AVE.,Trailer,329.0
2015,COMMONWEALTH AVE.,Trailer,256.0
2015,A. BONIFACIO,Trailer,2867.0
2015,RIZAL AVE.,Trailer,7.0
2015,DEL PAN,Trailer,
2015,MARCOS HWY.,Trailer,548.0
2015,MCARTHUR HWY.,Trailer,541.0
2015,TOTAL,Trailer,14635.0
2015,RECTO,MC,19220.0
2015,MENDOZA,MC,22611.0
2015,PRES. QUIRINO,MC,28641.0
2015,ARANETA AVE.,MC,25111.0
2015,EDSA (BUENDIA AVE),MC,60432.0
2015,KATIPUNAN / C.P. GARCIA,MC,46149.0
2015,ROXAS BLVD.,MC,33827.0
2015,TAFT AVE.,MC,14683.0
2015,SSH,MC,28095.0
2015,SHAW BLVD.,MC,24525.0
2015,ORTIGAS AVE.,MC,32044.0
2015,MAGSAYSAY BLVD.,MC,25129.0
2015,AURORA BLVD.,MC,18168.0
2015,QUEZON AVE.,MC,35147.0
2015,COMMONWEALTH AVE.,MC,59423.0
2015,A. BONIFACIO,MC,14498.0
2015,RIZAL AVE.,MC,23341.0
2015,DEL PAN,MC,
2015,MARCOS HWY.,MC,36609.0
2015,MCARTHUR HWY.,MC,27734.0
2015,TOTAL,MC,575487.0
2015,RECTO,Tricycle,3906.0
2015,MENDOZA,Tricycle,984.0
2015,PRES. QUIRINO,Tricycle,827.0
2015,ARANETA AVE.,Tricycle,2769.0
2015,EDSA (BUENDIA AVE),Tricycle,20.0
2015,KATIPUNAN / C.P. GARCIA,Tricycle,4.0
2015,ROXAS BLVD.,Tricycle,38.0
2015,TAFT AVE.,Tricycle,582.0
2015,SSH,Tricycle,33.0
2015,SHAW BLVD.,Tricycle,4.0
2015,ORTIGAS AVE.,Tricycle,9.0
2015,MAGSAYSAY BLVD.,Tricycle,1107.0
2015,AURORA BLVD.,Tricycle,697.0
2015,QUEZON AVE.,Tricycle,121.0
2015,COMMONWEALTH AVE.,Tricycle,890.0
2015,A. BONIFACIO,Tricycle,1859.0
2015,RIZAL AVE.,Tricycle,2579.0
2015,DEL PAN,Tricycle,
2015,MARCOS HWY.,Tricycle,178.0
2015,MCARTHUR HWY.,Tricycle,533.0
2015,TOTAL,Tricycle,16840.0
2015,RECTO,Total,70506
2015,MENDOZA,Total,91842
2015,PRES. QUIRINO,Total,119824
2015,ARANETA AVE.,Total,89720
2015,EDSA (BUENDIA AVE),Total,367675
2015,KATIPUNAN / C.P. GARCIA,Total,194119
2015,ROXAS BLVD.,Total,173195
2015,TAFT AVE.,Total,91185
2015,SSH,Total,126667
2015,SHAW BLVD.,Total,95236
2015,ORTIGAS AVE.,Total,121433
2015,MAGSAYSAY BLVD.,Total,99813
2015,AURORA BLVD.,Total,93706
2015,QUEZON AVE.,Total,186321
2015,COMMONWEALTH AVE.,Total,259195
2015,A. BONIFACIO,Total,57897
2015,RIZAL AVE.,Total,70395
2015,DEL PAN,Total,0
2015,MARCOS HWY.,Total,173015
2015,MCARTHUR HWY.,Total,82170
2015,TOTAL,Total,2563814
2016,RECTO,Car,26154
2016,MENDOZA,Car,51410
2016,PRES. QUIRINO,Car,43654
2016,ARANETA AVE.,Car,71317
2016,EDSA,Car,278657
2016,KATIPUNAN / C.P. GARCIA,Car,154037
2016,ROXAS BLVD.,Car,133664
2016,TAFT AVE.,Car,54047
2016,SSH,Car,68844
2016,SHAW BLVD.,Car,63066
2016,ORTIGAS AVE.,Car,88628
